@relation traffic_analysis
 
@attribute numPackSent numeric
@attribute numPackRec numeric
@attribute totalPackets numeric
@attribute numberAck numeric
@attribute headerBytesSent numeric
@attribute headerBytesRec numeric
@attribute totalHeaderBytes numeric
@attribute caplenSent numeric
@attribute caplenRec numeric
@attribute minPackLength numeric
@attribute maxPackLength numeric
@attribute avPackLength numeric
@attribute avPayload numeric
@attribute payloadSent numeric
@attribute payloadRec numeric
@attribute totalPayload numeric
@attribute totalSize numeric
@attribute class {TOR,SSH,SSLWEB,SSLp2p,SCP,SKYPE}
 
@data
1059,1056,2115,21,8604,8568,17172,129116,165582,334,622,452.0,97.0,84506,121054,205560,956082,SKYPE
711,1089,1800,1800,22752,44596,67348,2537174,82534,346,7506,1735.0,1383.0,2490248,912,2491160,3123708,SCP
876,680,1556,1527,18776,16368,35144,584454,51815,334,1814,706.0,351.0,535894,10339,546233,1099277,SSLp2p
628,441,1069,1047,14132,10788,24920,422690,41477,334,1814,732.0,375.0,387206,14280,401486,783295,SSLp2p
36,42,78,77,1004,1176,2180,3656,4402,334,818,401.0,40.0,1428,1748,3176,31338,TOR
26,26,52,52,832,832,1664,2436,6916,346,1794,459.0,113.0,720,5200,5920,23912,SSH
916,1496,2412,2412,35468,47872,83340,67380,2229552,346,1778,1232.0,883.0,768,2130816,2131584,2972292,SCP
1082,1072,2154,47,8956,8840,17796,135519,162849,334,915,450.0,96.0,89775,117449,207224,970960,SKYPE
1107,1093,2200,110,9660,9532,19192,130986,181356,334,1858,453.0,99.0,83688,134536,218224,998326,SKYPE
25,25,50,50,800,800,1600,2258,12002,346,1794,565.0,219.0,608,10352,10960,28260,SSH
449,419,868,837,9760,9740,19500,264327,34257,334,1814,641.0,286.0,239301,9159,248460,556728,SSLp2p
856,905,1761,1739,18924,19708,38632,375182,648040,334,1814,879.0,524.0,327154,596191,923345,1548206,SSLp2p
1072,1068,2140,27,8756,8688,17444,132566,134662,334,1647,437.0,82.0,87362,89597,176959,936668,SKYPE
1007,634,1641,1625,22180,16280,38460,797008,47127,334,1814,813.0,455.0,740590,6985,747575,1335551,SSLp2p
37,39,76,74,936,1056,1992,5427,3762,334,1374,416.0,60.0,3233,1344,4577,31621,TOR
406,325,731,710,10660,9364,20024,281036,32046,334,1814,725.0,366.0,256572,11014,267586,530338,SSLp2p
1056,1050,2106,30,8628,8580,17208,157517,130951,334,622,449.0,94.0,112925,86597,199522,947524,SKYPE
430,318,748,741,8696,8484,17180,296932,23838,334,1814,727.0,370.0,273616,3876,277492,544162,SSLp2p
1066,1068,2134,21,8648,8676,17324,156620,126700,334,519,445.0,90.0,111728,81652,193380,949960,SKYPE
46,41,87,83,1096,952,2048,3852,2977,334,817,377.0,20.0,1192,556,1748,32853,TOR
693,1078,1771,1771,22176,43764,65940,2538850,81328,346,7506,1759.0,1408.0,2493112,912,2494024,3116058,SCP
36,36,72,71,1160,1160,2320,3948,6972,346,1794,431.0,85.0,1564,4588,6152,31080,SSH
1052,1050,2102,34,8632,8604,17236,134128,149216,334,1364,447.0,92.0,89728,104830,194558,939808,SKYPE
